0001	SDP
1401	Health Device Source
1402	Health Device Sink
1800	Generic Access Profile
1801	Generic Attribute Profile
1802	Immediate Alert
1803	Link Loss
1804	Tx Power
1805	Current Time Service
1806	Reference Time Update Service
1807	Next DST Change Service
1808	Glucose
1809	Health Thermometer
180A	Device Information
180D	Heart Rate
180E	Phone Alert Status Service
180F	Battery Service
1810	Blood Pressure
1811	Alert Notification Service
1812	Human Interface Device
1813	Scan Parameters
1814	Running Speed and Cadence
1815	Automation IO
1816	Cycling Speed and Cadence
1818	Cycling Power
1819	Location and Navigation
181A	Environmental Sensing
181B	Body Composition
181C	User Data
181D	Weight Scale
181E	Bond Management
181F	Continuous Glucose Monitoring
1820	Internet Protocol Support
1821	Indoor Positioning
1822	Pulse Oximeter
1823	HTTP Proxy
1824	Transport Discovery
1825	Object Transfer
1826	Fitness Machine
1827	Mesh Provisioning Service
1828	Mesh Proxy Service
1829	Reconnection Configuration
183A	Insulin Delivery
2700	unitless
2701	length (metre)
2702	mass (kilogram)
2703	time (second)
2704	electric current (ampere)
2705	thermodynamic temperature (kelvin)
2706	amount of substance (mole)
2707	luminous intensity (candela)
2710	area (square metres)
2711	volume (cubic metres)
2712	velocity (metres per second)
2713	acceleration (metres per second squared)
2714	wavenumber (reciprocal metre)
2715	density (kilogram per cubic metre)
2716	surface density (kilogram per square metre)
2717	specific volume (cubic metre per kilogram)
2718	current density (ampere per square metre)
2719	magnetic field strength (ampere per metre)
271A	amount concentration (mole per cubic metre)
271B	mass concentration (kilogram per cubic metre)
271C	luminance (candela per square metre)
271D	refractive index
271E	relative permeability
2720	plane angle (radian)
2721	solid angle (steradian)
2722	frequency (hertz)
2723	force (newton)
2724	pressure (pascal)
2725	energy (joule)
2726	power (watt)
2727	electric charge (coulomb)
2728	electric potential difference (volt)
2729	capacitance (farad)
272A	electric resistance (ohm)
272B	electric conductance (siemens)
272C	magnetic flux (weber)
272D	magnetic flux density (tesla)
272E	inductance (henry)
272F	Celsius temperature (degree Celsius)
2730	luminous flux (lumen)
2731	illuminance (lux)
2732	activity referred to a radionuclide (becquerel)
2733	absorbed dose (gray)
2734	dose equivalent (sievert)
2735	catalytic activity (katal)
2740	dynamic viscosity (pascal second)
2741	moment of force (newton metre)
2742	surface tension (newton per metre)
2743	angular velocity (radian per second)
2744	angular acceleration (radian per second squared)
2745	heat flux density (watt per square metre)
2746	heat capacity (joule per kelvin)
2747	specific heat capacity (joule per kilogram kelvin)
2748	specific energy (joule per kilogram)
2749	thermal conductivity (watt per metre kelvin)
274A	energy density (joule per cubic metre)
274B	electric field strength (volt per metre)
274C	electric charge density (coulomb per cubic metre)
274D	surface charge density (coulomb per square metre)
274E	electric flux density (coulomb per square metre)
274F	permittivity (farad per metre)
2750	permeability (henry per metre)
2751	molar energy (joule per mole)
2752	molar entropy (joule per mole kelvin)
2753	exposure (coulomb per kilogram)
2754	absorbed dose rate (gray per second)
2755	radiant intensity (watt per steradian)
2756	radiance (watt per square metre steradian)
2757	catalytic activity concentration (katal per cubic metre)
2760	time (minute)
2761	time (hour)
2762	time (day)
2763	plane angle (degree)
2764	plane angle (minute)
2765	plane angle (second)
2766	area (hectare)
2767	volume (litre)
2768	mass (tonne)
2780	pressure (bar)
2781	pressure (millimetre of mercury)
2782	length (angstrom)  /* Bluetooth changes this to "ngstrm", mistake? */
2783	length (nautical mile)
2784	area (barn)
2785	velocity (knot)
2786	logarithmic radio quantity (neper)
2787	logarithmic radio quantity (bel)
27A0	length (yard)
27A1	length (parsec)
27A2	length (inch)
27A3	length (foot)
27A4	length (mile)
27A5	pressure (pound-force per square inch)
27A6	velocity (kilometre per hour)
27A7	velocity (mile per hour)
27A8	angular velocity (revolution per minute)
27A9	energy (gram calorie)
27AA	energy (kilogram calorie)
27AB	energy (kilowatt hour)
27AC	thermodynamic temperature (degree Fahrenheit)
27AD	percentage
27AE	per mille
27AF	period (beats per minute)
27B0	electric charge (ampere hours)
27B1	mass density (milligram per decilitre)
27B2	mass density (millimole per litre)
27B3	time (year)
27B4	time (month)
27B5	concentration (count per cubic metre)
27B6	irradiance (watt per square metre)
27B7	milliliter (per kilogram per minute)
27B8	mass (pound)
27B9	metabolic equivalent
27BA	step (per minute)
27BC	stroke (per minute)
27BD	pace (kilometre per minute)
27BE	luminous efficacy (lumen per watt)
27BF	luminous energy (lumen hour)
27C0	luminous exposure (lux hour)
27C1	mass flow (gram per second)
27C2	volume flow (litre per second)
2800	GATT Primary Service Declaration
2801	GATT Secondary Service Declaration
2802	GATT Include Declaration
2803	GATT Characteristic Declaration
2900	Characteristic Extended Properties
2901	Characteristic User Description
2902	Client Characteristic Configuration
2903	Server Characteristic Configuration
2904	Characteristic Presentation Format
2905	Characteristic Aggregate Format
2906	Valid Range
2907	External Report Reference
2908	Report Reference
2909	Number of Digitals
290A	Value Trigger Setting
290B	Environmental Sensing Configuration
290C	Environmental Sensing Measurement
290D	Environmental Sensing Trigger Setting
290E	Time Trigger Setting
2A00	Device Name
2A01	Appearance
2A02	Peripheral Privacy Flag
2A03	Reconnection Address
2A04	Peripheral Preferred Connection Parameters
2A05	Service Changed
2A06	Alert Level
2A07	Tx Power Level
2A08	Date Time
2A09	Day of Week
2A0A	Day Date Time
2A0B	Exact Time 100
2A0C	Exact Time 256
2A0D	DST Offset
2A0E	Time Zone
2A0F	Local Time Information
2A10	Secondary Time Zone
2A11	Time with DST
2A12	Time Accuracy
2A13	Time Source
2A14	Reference Time Information
2A15	Time Broadcast
2A16	Time Update Control Point
2A17	Time Update State
2A18	Glucose Measurement
2A19	Battery Level
2A1A	Battery Power State
2A1B	Battery Level State
2A1C	Temperature Measurement
2A1D	Temperature Type
2A1E	Intermediate Temperature
2A1F	Temperature Celsius
2A20	Temperature Fahrenheit
2A21	Measurement Interval
2A22	Boot Keyboard Input Report
2A23	System ID
2A24	Model Number String
2A25	Serial Number String
2A26	Firmware Revision String
2A27	Hardware Revision String
2A28	Software Revision String
2A29	Manufacturer Name String
2A2A	IEEE 11073-20601 Regulatory Certification Data List
2A2B	Current Time
2A2C	Magnetic Declination
2A2F	Position 2D
2A30	Position 3D
2A31	Scan Refresh
2A32	Boot Keyboard Output Report
2A33	Boot Mouse Input Report
2A34	Glucose Measurement Context
2A35	Blood Pressure Measurement
2A36	Intermediate Cuff Pressure
2A37	Heart Rate Measurement
2A38	Body Sensor Location
2A39	Heart Rate Control Point
2A3A	Removable
2A3B	Service Required
2A3C	Scientific Temperature Celsius
2A3D	String
2A3E	Network Availability
2A3F	Alert Status
2A40	Ringer Control Point
2A41	Ringer Setting
2A42	Alert Category ID Bit Mask
2A43	Alert Category ID
2A44	Alert Notification Control Point
2A45	Unread Alert Status
2A46	New Alert
2A47	Supported New Alert Category
2A48	Supported Unread Alert Category
2A49	Blood Pressure Feature
2A4A	HID Information
2A4B	Report Map
2A4C	HID Control Point
2A4D	Report
2A4E	Protocol Mode
2A4F	Scan Interval Window
2A50	PnP ID
2A51	Glucose Feature
2A52	Record Access Control Point
2A53	RSC Measurement
2A54	RSC Feature
2A55	SC Control Point
2A56	Digital
2A57	Digital Output
2A58	Analog
2A59	Analog Output
2A5A	Aggregate
2A5B	CSC Measurement
2A5C	CSC Feature
2A5D	Sensor Location
2A5E	PLX Spot-Check Measurement
2A5F	PLX Continuous Measurement
2A60	PLX Features
2A62	Pulse Oximetry Control Point
2A63	Cycling Power Measurement
2A64	Cycling Power Vector
2A65	Cycling Power Feature
2A66	Cycling Power Control Point
2A67	Location and Speed
2A68	Navigation
2A69	Position Quality
2A6A	LN Feature
2A6B	LN Control Point
2A6C	Elevation
2A6D	Pressure
2A6E	Temperature
2A6F	Humidity
2A70	True Wind Speed
2A71	True Wind Direction
2A72	Apparent Wind Speed
2A73	Apparent Wind Direction
2A74	Gust Factor
2A75	Pollen Concentration
2A76	UV Index
2A77	Irradiance
2A78	Rainfall
2A79	Wind Chill
2A7A	Heat Index
2A7B	Dew Point
2A7D	Descriptor Value Changed
2A7E	Aerobic Heart Rate Lower Limit
2A7F	Aerobic Threshold
2A80	Age
2A81	Anaerobic Heart Rate Lower Limit
2A82	Anaerobic Heart Rate Upper Limit
2A83	Anaerobic Threshold
2A84	Aerobic Heart Rate Upper Limit
2A85	Date of Birth
2A86	Date of Threshold Assessment
2A87	Email Address
2A88	Fat Burn Heart Rate Lower Limit
2A89	Fat Burn Heart Rate Upper Limit
2A8A	First Name
2A8B	Five Zone Heart Rate Limits
2A8C	Gender
2A8D	Heart Rate Max
2A8E	Height
2A8F	Hip Circumference
2A90	Last Name
2A91	Maximum Recommended Heart Rate
2A92	Resting Heart Rate
2A93	Sport Type for Aerobic and Anaerobic Thresholds
2A94	Three Zone Heart Rate Limits
2A95	Two Zone Heart Rate Limit
2A96	VO2 Max
2A97	Waist Circumference
2A98	Weight
2A99	Database Change Increment
2A9A	User Index
2A9B	Body Composition Feature
2A9C	Body Composition Measurement
2A9D	Weight Measurement
2A9E	Weight Scale Feature
2A9F	User Control Point
2AA0	Magnetic Flux Density - 2D
2AA1	Magnetic Flux Density - 3D
2AA2	Language
2AA3	Barometric Pressure Trend
2AA4	Bond Management Control Point
2AA5	Bond Management Feature
2AA6	Central Address Resolution
2AA7	CGM Measurement
2AA8	CGM Feature
2AA9	CGM Status
2AAA	CGM Session Start Time
2AAB	CGM Session Run Time
2AAC	CGM Specific Ops Control Point
2AAD	Indoor Positioning Configuration
2AAE	Latitude
2AAF	Longitude
2AB0	Local North Coordinate
2AB1	Local East Coordinate
2AB2	Floor Number
2AB3	Altitude
2AB4	Uncertainty
2AB5	Location Name
2AB6	URI
2AB7	HTTP Headers
2AB8	HTTP Status Code
2AB9	HTTP Entity Body
2ABA	HTTP Control Point
2ABB	HTTPS Security
2ABC	TDS Control Point
2ABD	OTS Feature
2ABE	Object Name
2ABF	Object Type
2AC0	Object Size
2AC1	Object First-Created
2AC2	Object Last-Modified
2AC3	Object ID
2AC4	Object Properties
2AC5	Object Action Control Point
2AC6	Object List Control Point
2AC7	Object List Filter
2AC8	Object Changed
2AC9	Resolvable Private Address Only
2ACC	Fitness Machine Feature
2ACD	Treadmill Data
2ACE	Cross Trainer Data
2ACF	Step Climber Data
2AD0	Stair Climber Data
2AD1	Rower Data
2AD2	Indoor Bike Data
2AD3	Training Status
2AD4	Supported Speed Range
2AD5	Supported Inclination Range
2AD6	Supported Resistance Level Range
2AD7	Supported Heart Rate Range
2AD8	Supported Power Range
2AD9	Fitness Machine Control Point
2ADA	Fitness Machine Status
2ADB	Mesh Provisioning Data In
2ADC	Mesh Provisioning Data Out
2ADD	Mesh Proxy Data In
2ADE	Mesh Proxy Data Out
2AE0	Average Current
2AE1	Average Voltage
2AE2	Boolean
2AE3	Chromatic Distance From Planckian
2AE4	Chromaticity Coordinates
2AE5	Chromaticity In CCT And Duv Values
2AE6	Chromaticity Tolerance
2AE7	CIE 13.3-1995 Color Rendering Index
2AE8	Coefficient
2AE9	Correlated Color Temperature
2AEA	Count 16
2AEB	Count 24
2AEC	Country Code
2AED	Date UTC
2AEE	Electric Current
2AEF	Electric Current Range
2AF0	Electric Current Specification
2AF1	Electric Current Statistics
2AF2	Energy
2AF3	Energy In A Period Of Day
2AF4	Event Statistics
2AF5	Fixed String 16
2AF6	Fixed String 24
2AF7	Fixed String 36
2AF8	Fixed String 8
2AF9	Generic Level
2AFA	Global Trade Item Number
2AFB	Illuminance
2AFC	Luminous Efficacy
2AFD	Luminous Energy
2AFE	Luminous Exposure
2AFF	Luminous Flux
2B00	Luminous Flux Range
2B01	Luminous Intensity
2B02	Mass Flow
2B03	Perceived Lightness
2B04	Percentage 8
2B05	Power
2B06	Power Specification
2B07	Relative Runtime In A Current Range
2B08	Relative Runtime In A Generic Level Range
2B09	Relative Value In A Voltage Range
2B0A	Relative Value In An Illuminance Range
2B0B	Relative Value In A Period of Day
2B0C	Relative Value In A Temperature Range
2B0D	Temperature 8
2B0E	Temperature 8 In A Period Of Day
2B0F	Temperature 8 Statistics
2B10	Temperature Range
2B11	Temperature Statistics
2B12	Time Decihour 8
2B13	Time Exponential 8
2B14	Time Hour 24
2B15	Time Millisecond 24
2B16	Time Second 16
2B17	Time Second 8
2B18	Voltage
2B19	Voltage Specification
2B1A	Voltage Statistics
2B1B	Volume Flow
2B1C	Chromaticity Coordinate
2B1D	Reconnection Configuration Feature
2B1E	Reconnection Configuration Settings
2B1F	Reconnection Configuration Control Point
2B20	IDD Status Changed
2B21	IDD Status
2B22	IDD Annunciation Status
2B23	IDD Features
2B24	IDD Status Reader Control Point
2B25	IDD Command Control Point
2B26	IDD Command Data
2B27	IDD Record Access Control Point
2B28	IDD History Data
2B29	Client Supported Features
2B2A	Database Hash
FDB4	HP Inc
FDB5	ECSG
FDB6	GWA Hygiene GmbH
FDB7	LivaNova USA Inc.
FDB8	LivaNova USA Inc.
FDB9	Comcast Cable Corporation
FDBA	Comcast Cable Corporation
FDBB	Profoto
FDBC	Emerson
FDBD	Clover Network, Inc.
FDBE	California Things Inc.
FDBF	California Things Inc.
FDC0	Hunter Douglas
FDC1	Hunter Douglas
FDC2	Baidu Online Network Technology (Beijing) Co., Ltd
FDC3	Baidu Online Network Technology (Beijing) Co., Ltd
FDC4	Simavita (Aust) Pty Ltd
FDC5	Automatic Labs
FDC6	Eli Lilly and Company
FDC7	Eli Lilly and Company
FDC8	Hach Danaher
FDC9	Busch-Jaeger Elektro GmbH
FDCA	Fortin Electronic Systems
FDCB	Meggitt SA
FDCC	Shoof Technologies
FDCD	Qingping Technology (Beijing) Co., Ltd.
FDCE	SENNHEISER electronic GmbH & Co. KG
FDCF	Nalu Medical, Inc
FDD0	Huawei Technologies Co., Ltd
FDD1	Huawei Technologies Co., Ltd
FDD2	Bose Corporation
FDD3	FUBA Automotive Electronics GmbH
FDD4	LX Solutions Pty Limited
FDD5	Brompton Bicycle Ltd
FDD6	Ministry of Supply
FDD7	Emerson
FDD8	Jiangsu Teranovo Tech Co., Ltd.
FDD9	Jiangsu Teranovo Tech Co., Ltd.
FDDA	MHCS
FDDB	Samsung Electronics Co., Ltd.
FDDC	4iiii Innovations Inc.
FDDD	Arch Systems Inc
FDDE	Noodle Technology Inc.
FDDF	Harman International
FDE0	John Deere
FDE1	Fortin Electronic Systems
FDE2	Google Inc.
FDE3	Abbott Diabetes Care
FDE4	JUUL Labs, Inc.
FDE5	SMK Corporation
FDE6	Intelletto Technologies Inc
FDE7	SECOM Co., LTD
FDE8	Robert Bosch GmbH
FDE9	Spacesaver Corporation
FDEA	SeeScan, Inc
FDEB	Syntronix Corporation
FDEC	Mannkind Corporation
FDED	Pole Star
FDEE	Huawei Technologies Co., Ltd.
FDEF	ART AND PROGRAM, INC.
FDF0	Google Inc.
FDF1	LAMPLIGHT Co.,Ltd
FDF2	AMICCOM Electronics Corporation
FDF3	Amersports
FDF4	O. E. M. Controls, Inc.
FDF5	Milwaukee Electric Tools
FDF6	AIAIAI ApS
FDF7	HP Inc.
FDF8	Onvocal
FDF9	INIA
FDFA	Tandem Diabetes Care
FDFB	Tandem Diabetes Care
FDFC	Optrel AG
FDFD	RecursiveSoft Inc.
FDFE	ADHERIUM(NZ) LIMITED
FDFF	OSRAM GmbH
FE00	Amazon.com Services, Inc.
FE01	Duracell U.S. Operations Inc.
FE02	Robert Bosch GmbH
FE03	Amazon.com Services, Inc.
FE04	OpenPath Security Inc
FE05	CORE Transport Technologies NZ Limited
FE06	Qualcomm Technologies, Inc.
FE07	Sonos, Inc.
FE08	Microsoft
FE09	Pillsy, Inc.
FE0A	ruwido austria gmbh
FE0B	ruwido austria gmbh
FE0C	Procter & Gamble
FE0D	Procter & Gamble
FE0E	Setec Pty Ltd
FE0F	Philips Lighting B.V.
FE10	Lapis Semiconductor Co., Ltd.
FE11	GMC-I Messtechnik GmbH
FE12	M-Way Solutions GmbH
FE13	Apple Inc.
FE14	Flextronics International USA Inc.
FE15	Amazon.com Services, Inc..
FE16	Footmarks, Inc.
FE17	Telit Wireless Solutions GmbH
FE18	Runtime, Inc.
FE19	Google, Inc
FE1A	Tyto Life LLC
FE1B	Tyto Life LLC
FE1C	NetMedia, Inc.
FE1D	Illuminati Instrument Corporation
FE1E	Smart Innovations Co., Ltd
FE1F	Garmin International, Inc.
FE20	Emerson
FE21	Bose Corporation
FE22	Zoll Medical Corporation
FE23	Zoll Medical Corporation
FE24	August Home Inc
FE25	Apple, Inc.
FE26	Google
FE27	Google
FE28	Ayla Networks
FE29	Gibson Innovations
FE2A	DaisyWorks, Inc.
FE2B	ITT Industries
FE2C	Google
FE2D	SMART INNOVATION Co.,Ltd
FE2E	ERi,Inc.
FE2F	CRESCO Wireless, Inc
FE30	Volkswagen AG
FE31	Volkswagen AG
FE32	Pro-Mark, Inc.
FE33	CHIPOLO d.o.o.
FE34	SmallLoop LLC
FE35	HUAWEI Technologies Co., Ltd
FE36	HUAWEI Technologies Co., Ltd
FE37	Spaceek LTD
FE38	Spaceek LTD
FE39	TTS Tooltechnic Systems AG & Co. KG
FE3A	TTS Tooltechnic Systems AG & Co. KG
FE3B	Dobly Laboratories
FE3C	alibaba
FE3D	BD Medical
FE3E	BD Medical
FE3F	Friday Labs Limited
FE40	Inugo Systems Limited
FE41	Inugo Systems Limited
FE42	Nets A/S
FE43	Andreas Stihl AG & Co. KG
FE44	SK Telecom
FE45	Snapchat Inc
FE46	B&O Play A/S
FE47	General Motors
FE48	General Motors
FE49	SenionLab AB
FE4A	OMRON HEALTHCARE Co., Ltd.
FE4B	Philips Lighting B.V.
FE4C	Volkswagen AG
FE4D	Casambi Technologies Oy
FE4E	NTT docomo
FE4F	Molekule, Inc.
FE50	Google Inc.
FE51	SRAM
FE52	SetPoint Medical
FE53	3M
FE54	Motiv, Inc.
FE55	Google Inc.
FE56	Google Inc.
FE57	Dotted Labs
FE58	Nordic Semiconductor ASA
FE59	Nordic Semiconductor ASA
FE5A	Cronologics Corporation
FE5B	GT-tronics HK Ltd
FE5C	million hunters GmbH
FE5D	Grundfos A/S
FE5E	Plastc Corporation
FE5F	Eyefi, Inc.
FE60	Lierda Science & Technology Group Co., Ltd.
FE61	Logitech International SA
FE62	Indagem Tech LLC
FE63	Connected Yard, Inc.
FE64	Siemens AG
FE65	CHIPOLO d.o.o.
FE66	Intel Corporation
FE67	Lab Sensor Solutions
FE68	Qualcomm Life Inc
FE69	Qualcomm Life Inc
FE6A	Kontakt Micro-Location Sp. z o.o.
FE6B	TASER International, Inc.
FE6C	TASER International, Inc.
FE6D	The University of Tokyo
FE6E	The University of Tokyo
FE6F	LINE Corporation
FE70	Beijing Jingdong Century Trading Co., Ltd.
FE71	Plume Design Inc
FE72	St. Jude Medical, Inc.
FE73	St. Jude Medical, Inc.
FE74	unwire
FE75	TangoMe
FE76	TangoMe
FE77	Hewlett-Packard Company
FE78	Hewlett-Packard Company
FE79	Zebra Technologies
FE7A	Bragi GmbH
FE7B	Orion Labs, Inc.
FE7C	Telit Wireless Solutions (Formerly Stollmann E+V GmbH)
FE7D	Aterica Health Inc.
FE7E	Awear Solutions Ltd
FE7F	Doppler Lab
FE80	Doppler Lab
FE81	Medtronic Inc.
FE82	Medtronic Inc.
FE83	Blue Bite
FE84	RF Digital Corp
FE85	RF Digital Corp
FE86	HUAWEI Technologies Co., Ltd. ( )
FE87	Qingdao Yeelink Information Technology Co., Ltd. ( )
FE88	SALTO SYSTEMS S.L.
FE89	B&O Play A/S
FE8A	Apple, Inc.
FE8B	Apple, Inc.
FE8C	TRON Forum
FE8D	Interaxon Inc.
FE8E	ARM Ltd
FE8F	CSR
FE90	JUMA
FE91	Shanghai Imilab Technology Co.,Ltd
FE92	Jarden Safety & Security
FE93	OttoQ In
FE94	OttoQ In
FE95	Xiaomi Inc.
FE96	Tesla Motors Inc.
FE97	Tesla Motors Inc.
FE98	Currant Inc
FE99	Currant Inc
FE9A	Estimote
FE9B	Samsara Networks, Inc
FE9C	GSI Laboratories, Inc.
FE9D	Mobiquity Networks Inc
FE9E	Dialog Semiconductor B.V.
FE9F	Google
FEA0	Google
FEA1	Intrepid Control Systems, Inc.
FEA2	Intrepid Control Systems, Inc.
FEA3	ITT Industries
FEA4	Paxton Access Ltd
FEA5	GoPro, Inc.
FEA6	GoPro, Inc.
FEA7	UTC Fire and Security
FEA8	Savant Systems LLC
FEA9	Savant Systems LLC
FEAA	Google
FEAB	Nokia
FEAC	Nokia
FEAD	Nokia
FEAE	Nokia
FEAF	Nest Labs Inc
FEB0	Nest Labs Inc
FEB1	Electronics Tomorrow Limited
FEB2	Microsoft Corporation
FEB3	Taobao
FEB4	WiSilica Inc.
FEB5	WiSilica Inc.
FEB6	Vencer Co., Ltd
FEB7	Facebook, Inc.
FEB8	Facebook, Inc.
FEB9	LG Electronics
FEBA	Tencent Holdings Limited
FEBB	adafruit industries
FEBC	Dexcom Inc
FEBD	Clover Network, Inc
FEBE	Bose Corporation
FEBF	Nod, Inc.
FEC0	KDDI Corporation
FEC1	KDDI Corporation
FEC2	Blue Spark Technologies, Inc.
FEC3	360fly, Inc.
FEC4	PLUS Location Systems
FEC5	Realtek Semiconductor Corp.
FEC6	Kocomojo, LLC
FEC7	Apple, Inc.
FEC8	Apple, Inc.
FEC9	Apple, Inc.
FECA	Apple, Inc.
FECB	Apple, Inc.
FECC	Apple, Inc.
FECD	Apple, Inc.
FECE	Apple, Inc.
FECF	Apple, Inc.
FED0	Apple, Inc.
FED1	Apple, Inc.
FED2	Apple, Inc.
FED3	Apple, Inc.
FED4	Apple, Inc.
FED5	Plantronics Inc.
FED6	Broadcom
FED7	Broadcom
FED8	Google
FED9	Pebble Technology Corporation
FEDA	ISSC Technologies Corp.
FEDB	Perka, Inc.
FEDC	Jawbone
FEDD	Jawbone
FEDE	Coin, Inc.
FEDF	Design SHIFT
FEE0	Anhui Huami Information Technology Co., Ltd.
FEE1	Anhui Huami Information Technology Co., Ltd.
FEE2	Anki, Inc.
FEE3	Anki, Inc.
FEE4	Nordic Semiconductor ASA
FEE5	Nordic Semiconductor ASA
FEE6	Silvair, Inc.
FEE7	Tencent Holdings Limited.
FEE8	Quintic Corp.
FEE9	Quintic Corp.
FEEA	Swirl Networks, Inc.
FEEB	Swirl Networks, Inc.
FEEC	Tile, Inc.
FEED	Tile, Inc.
FEEE	Polar Electro Oy
FEEF	Polar Electro Oy
FEF0	Intel
FEF1	CSR
FEF2	CSR
FEF3	Google
FEF4	Google
FEF5	Dialog Semiconductor GmbH
FEF6	Wicentric, Inc.
FEF7	Aplix Corporation
FEF8	Aplix Corporation
FEF9	PayPal, Inc.
FEFA	PayPal, Inc.
FEFB	Telit Wireless Solutions (Formerly Stollmann E+V GmbH)
FEFC	Gimbal, Inc.
FEFD	Gimbal, Inc.
FEFE	GN ReSound A/S
FEFF	GN Netcom
FFFC	AirFuel Alliance - Wireless Power Transfer (WPT) Service
FFFD	Fast IDentity Online Alliance - Universal Second Factor Authenticator Service
FFFE	Alliance for Wireless Power - Wireless Power Transfer Service
